Cod, Evento
508, xApp_Lora_Log_Event_TXStatus_LORAWAN_SUCCESS                 
509, xApp_Lora_Log_Event_TXStatus_LORAWAN_NWK_NOT_JOINED          
510, xApp_Lora_Log_Event_TXStatus_LORAWAN_INVALID_PARAMETER       
511, xApp_Lora_Log_Event_TXStatus_LORAWAN_KEYS_NOT_INITIALIZED    
512, xApp_Lora_Log_Event_TXStatus_LORAWAN_SILENT_IMMEDIATELY_ACTIVE
513, xApp_Lora_Log_Event_TXStatus_LORAWAN_FCNTR_ERROR_REJOIN_NEEDED
514, xApp_Lora_Log_Event_TXStatus_LORAWAN_INVALID_BUFFER_LENGTH   
515, xApp_Lora_Log_Event_TXStatus_LORAWAN_MAC_PAUSED              
516, xApp_Lora_Log_Event_TXStatus_LORAWAN_NO_CHANNELS_FOUND       
517, xApp_Lora_Log_Event_TXStatus_LORAWAN_BUSY
518, xApp_Lora_Log_Event_TXStatus_LORAWAN_NO_ACK                  
519, xApp_Lora_Log_Event_TXStatus_LORAWAN_NWK_JOIN_IN_PROGRESS    
520, xApp_Lora_Log_Event_TXStatus_LORAWAN_RESOURCE_UNAVAILABLE
521, xApp_Lora_Log_Event_TXStatus_LORAWAN_INVALID_REQUEST         
522, xApp_Lora_Log_Event_TXStatus_LORAWAN_UNSUPPORTED_BAND        
523, xApp_Lora_Log_Event_TXStatus_LORAWAN_FCNTR_ERROR             
524, xApp_Lora_Log_Event_TXStatus_LORAWAN_MIC_ERROR               
525, xApp_Lora_Log_Event_TXStatus_LORAWAN_INVALID_MTYPE           
526, xApp_Lora_Log_Event_TXStatus_LORAWAN_MCAST_HDR_INVALID       
527, xApp_Lora_Log_Event_TXStatus_LORAWAN_TX_TIMEOUT              
528, xApp_Lora_Log_Event_TXStatus_LORAWAN_RADIO_TX_TIMEOUT        
529, xApp_Lora_Log_Event_TXStatus_LORAWAN_MAX_MCAST_GROUP_REACHED
530, xApp_Lora_Log_Event_TXStatus_LORAWAN_INVALID_PACKET
531, xApp_Lora_Log_Event_TXStatus_LORAWAN_RXPKT_ENCRYPTION_FAILED
532, xApp_Lora_Log_Event_TXStatus_LORAWAN_TXPKT_ENCRYPTION_FAILED
533, xApp_Lora_Log_Event_TXStatus_LORAWAN_SKEY_DERIVATION_FAILED
534, xApp_Lora_Log_Event_TXStatus_LORAWAN_MIC_CALCULATION_FAILED
535, xApp_Lora_Log_Event_TXStatus_LORAWAN_SKEY_READ_FAILED        
536, xApp_Lora_Log_Event_TXStatus_LORAWAN_JOIN_NONCE_ERROR
32768, xApp_Lora_Log_Event_CALL_RESET_MARK
65535, xApp_Lora_Log_Event_INVALID
